Name ,Link,Party,Acct
"Barrasso, John",https://twitter.com/SenJohnBarrasso,R,SenJohnBarrasso
"Blackburn, Marsha",https://twitter.com/MarshaBlackburn,R,MarshaBlackburn
"Blunt, Roy",https://twitter.com/RoyBlunt,R,RoyBlunt
"Boozman, John",https://twitter.com/JohnBoozman,R,JohnBoozman
"Braun, Mike",https://twitter.com/SenatorBraun,R,SenatorBraun
"Burr, Richard",https://twitter.com/SenatorBurr,R,SenatorBurr
"Capito, Shelley Moore",https://twitter.com/SenCapito,R,SenCapito
"Cassidy, Bill",https://twitter.com/SenBillCassidy,R,SenBillCassidy
"Collins, Susan M.",https://twitter.com/SenatorCollins,R,SenatorCollins
"Cornyn, John",https://twitter.com/JohnCornyn,R,JohnCornyn
"Cotton, Tom",https://twitter.com/SenTomCotton,R,SenTomCotton
"Cramer, Kevin",https://twitter.com/SenKevinCramer,R,SenKevinCramer
"Crapo, Mike",https://twitter.com/MikeCrapo,R,MikeCrapo
"Cruz, Ted",https://twitter.com/SenTedCruz,R,SenTedCruz
"Daines, Steve",https://twitter.com/SteveDaines,R,SteveDaines
"Ernst, Joni",https://twitter.com/SenJoniErnst,R,SenJoniErnst
"Fischer, Deb",https://twitter.com/SenatorFischer,R,SenatorFischer
"Graham, Lindsey",https://twitter.com/LindseyGrahamSC,R,LindseyGrahamSC
"Grassley, Chuck",https://twitter.com/ChuckGrassley,R,ChuckGrassley
"Hagerty, Bill",https://twitter.com/SenatorHagerty,R,SenatorHagerty
"Hawley, Josh",https://twitter.com/HawleyMO,R,HawleyMO
"Hoeven, John",https://twitter.com/SenJohnHoeven,R,SenJohnHoeven
"Hyde-Smith, Cindy",https://twitter.com/SenHydeSmith,R,SenHydeSmith
"Inhofe, James M.",https://twitter.com/JimInhofe,R,JimInhofe
"Johnson, Ron",https://twitter.com/SenRonJohnson,R,SenRonJohnson
"Kennedy, John",https://twitter.com/SenJohnKennedy,R,SenJohnKennedy
"Lankford, James",https://twitter.com/SenatorLankford,R,SenatorLankford
